horas_semana,velocidad_alta,plazos_ajustados,demanda_emocional,presentismo,apoyo_jefe,apoyo_companeros,reconocimiento,conciliacion,bienestar_who5,tamanio_empresa,sector,nivel_educativo,teletrabajo
40.0,4.0,2.0,1.0,2.0,4.0,4.0,5.0,4.0,68.0,4.0,7,7.0,6.0
40.0,5.0,1.0,1.0,2.0,5.0,5.0,4.0,4.0,64.0,4.0,7,6.0,1.0
24.0,5.0,4.0,3.0,2.0,5.0,4.0,4.0,5.0,80.0,3.0,7,5.0,2.0
42.0,2.0,4.0,2.0,2.0,3.0,3.0,4.0,2.0,68.0,5.0,7,6.0,1.0
40.0,4.0,3.0,2.0,2.0,5.0,5.0,2.0,3.0,40.0,6.0,7,3.0,2.0
40.0,4.0,5.0,2.0,2.0,4.0,5.0,5.0,4.0,88.0,8.0,7,3.0,2.0
40.0,4.0,4.0,3.0,2.0,4.0,4.0,5.0,4.0,52.0,5.0,7,6.0,3.0
40.0,5.0,5.0,1.0,2.0,5.0,5.0,5.0,4.0,64.0,5.0,7,8.0,3.0
20.0,1.0,1.0,2.0,2.0,5.0,5.0,5.0,5.0,80.0,6.0,7,3.0,1.0
40.0,2.0,4.0,3.0,2.0,4.0,5.0,5.0,4.0,36.0,3.0,7,5.0,4.0
40.0,4.0,3.0,1.0,2.0,5.0,5.0,5.0,4.0,68.0,4.0,7,3.0,2.0
40.0,2.0,2.0,1.0,2.0,5.0,4.0,5.0,4.0,68.0,4.0,7,2.0,1.0
40.0,4.0,4.0,2.0,2.0,4.0,5.0,5.0,5.0,88.0,4.0,7,4.0,3.0
40.0,2.0,4.0,2.0,1.0,3.0,2.0,4.0,3.0,56.0,3.0,7,5.0,2.0
40.0,3.0,3.0,1.0,2.0,4.0,5.0,1.0,4.0,80.0,4.0,7,4.0,1.0
40.0,4.0,5.0,2.0,2.0,4.0,5.0,4.0,5.0,64.0,4.0,7,2.0,1.0
40.0,5.0,4.0,3.0,2.0,2.0,4.0,5.0,5.0,96.0,5.0,7,5.0,2.0
40.0,3.0,5.0,3.0,2.0,4.0,1.0,5.0,4.0,80.0,4.0,7,5.0,2.0
39.0,5.0,5.0,3.0,1.0,5.0,5.0,5.0,4.0,84.0,4.0,7,7.0,1.0
40.0,5.0,5.0,3.0,2.0,3.0,5.0,2.0,3.0,60.0,6.0,7,6.0,2.0
40.0,5.0,5.0,2.0,2.0,4.0,5.0,4.0,4.0,60.0,8.0,7,7.0,2.0
40.0,1.0,3.0,2.0,2.0,4.0,4.0,5.0,4.0,60.0,5.0,7,8.0,6.0
37.0,3.0,5.0,3.0,2.0,2.0,2.0,1.0,2.0,40.0,5.0,7,5.0,2.0
30.0,4.0,4.0,3.0,2.0,5.0,5.0,5.0,5.0,64.0,4.0,7,7.0,6.0
40.0,4.0,4.0,3.0,2.0,5.0,5.0,4.0,4.0,76.0,6.0,7,3.0,4.0
40.0,2.0,1.0,3.0,2.0,5.0,4.0,1.0,5.0,64.0,4.0,7,6.0,1.0
40.0,4.0,3.0,2.0,2.0,5.0,5.0,4.0,4.0,60.0,5.0,7,6.0,5.0
